203.0.113.30 - - [10/07/24:03:00:01 +0000] "GET /index.html HTTP/1.1" 200 1024
35.190.12.79 - - [20/07/24:02:38:37 +0000] "POST /api/upload HTTP/1.1" 201 1024
172.16.45.11 - - [20/07/24:02:41:01 +0000] "FTP /ftp/connect HTTP/1.1" 530 64
172.16.45.11 - - [20/07/24:02:43:26 +0000] "FTP /ftp/connect HTTP/1.1" 530 64
172.16.45.11 - - [20/07/24:02:45:51 +0000] "FTP /ftp/connect HTTP/1.1" 530 64
172.16.45.11 - - [20/07/24:02:48:16 +0000] "FTP /ftp/connect HTTP/1.1" 530 64
10.1.1.50 - - [20/07/24:02:50:40 +0000] "GET /admin/login HTTP/1.1" 401 256
10.1.1.50 - - [20/07/24:02:53:05 +0000] "GET /admin/login HTTP/1.1" 401 256
10.1.1.50 - - [20/07/24:02:55:30 +0000] "GET /admin/login HTTP/1.1" 401 256
54.239.28.85 - - [20/07/24:02:57:54 +0000] "GET /api/data HTTP/1.1" 200 512
54.239.28.85 - - [20/07/24:03:00:19 +0000] "GET /api/data HTTP/1.1" 200 512
54.239.28.85 - - [20/07/24:03:02:44 +0000] "SSH /ssh/connect HTTP/1.1" 403 128
54.239.28.85 - - [20/07/24:03:05:09 +0000] "SSH /ssh/connect HTTP/1.1" 403 128
54.239.28.85 - - [20/07/24:03:07:34 +0000] "SSH /ssh/connect HTTP/1.1" 403 128
